title,content_type,genre,url,tomatometer,popcornmeter,summary,critics_consensus,platforms
Season 1 – Legends,TV Show,Crime|Drama,https://www.rottentomatoes.com/tv/legends_2026/s01,96%,85%,"As drugs flood the streets of '90s Britain, a team of civil servants is thrust undercover to topple the gangs behind it; inspired by an untold true story.","Legends gets the basics of the crime genre right, bringing in clear-cut drama to a daringly real tale and imbuing its narrative with the right balance of respect and spectacle.","Fandango at Home, Netflix, Apple TV, Prime Video"
Season 1 – Nemesis,TV Show,Mystery & Thriller|Action|Crime|Drama,https://www.rottentomatoes.com/tv/nemesis_2026/s01,92%,51%,A relentless LAPD cop becomes obsessed with taking down the master thief behind a string of daring heists and only one can come out on top.,,"Fandango at Home, Netflix, Apple TV, Prime Video"
Season 2 – Rivals,TV Show,Drama,https://www.rottentomatoes.com/tv/rivals_2024/s02,100%,56%,"In 1980s England, a rivalry between two powerful men finally comes to a head.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Nobu,Movie,Documentary,https://www.rottentomatoes.com/m/nobu,57%,,"Nobu examines culinary legend Nobuyuki Matsuhisa's empire, offering an intimate portrait of a man who has redefined global gastronomy alongside his business partners Robert De Niro and Meir Teper. The film grants unprecedented access into Nobu's world, revealing the alchemy and precision behind his signature dishes, and the inspirations behind his innovations that revolutionized tradition-bound Japanese cuisine.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Lee Cronin's The Mummy,Movie,Horror,https://www.rottentomatoes.com/m/lee_cronins_the_mummy,47%,73%,"The young daughter of a journalist disappears into the desert without a trace. Eight years later, the broken family is shocked when she's returned to them. However, what should be a joyful reunion soon turns into a living nightmare as she starts to transform into something truly horrifying.","Director Lee Cronin's take on The Mummy injects some juicy gore and personal stakes into the classic horror setup, but the scares in this gross-out extravaganza get entombed by a padded running time.","Fandango at Home, Netflix, Apple TV, Prime Video"
Normal,Movie,Action|Comedy|Crime|Mystery & Thriller,https://www.rottentomatoes.com/m/normal_2025,77%,76%,"For Sheriff Ulysses (Bob Odenkirk), his provisional posting to the quaint Midwestern American town of Normal was meant to be a welcome respite from both his marital woes and recent moral injuries in the line of duty. But when a botched bank robbery interrupts the municipality's tranquil pace, a dark secret is inadvertently exposed, and Ulysses soon discovers that the town is anything but its namesake.","Normal thrives on Bob Odenkirk's gruff yet playful presence and director Ben Wheatley's over-the-top carnage, delivering simple, ridiculous, and consistently entertaining thrills despite its familiar premise.","Fandango at Home, Netflix, Apple TV, Prime Video"
The Super Mario Galaxy Movie,Movie,Kids & Family|Comedy|Adventure|Animation,https://www.rottentomatoes.com/m/the_super_mario_galaxy_movie,42%,88%,"Mario, Luigi and Princess Peach embark on an adventure across the galaxy.","Packed with colorful world-building that's as frenetic as it is weightless, The Super Mario Galaxy Movie 's visuals are often out of this world but the threadbare story ultimately loses its Milky Way.","Fandango at Home, Netflix, Apple TV, Prime Video"
Mother Mary,Movie,Mystery & Thriller|Drama|Music,https://www.rottentomatoes.com/m/mother_mary,70%,60%,Long-buried wounds rise to the surface when iconic pop star Mother Mary (Anne Hathaway) reunites with her estranged best friend and former costume designer Sam Anselm (Michaela Coel) on the eve of her comeback performance.,"Anne Hathaway acquits herself well as a believable pop star in Mother Mary , a modish psychodrama that can be frustratingly obtuse but has style to spare.","Fandango at Home, Netflix, Apple TV, Prime Video"
Wasteman,Movie,Crime|Drama|Mystery & Thriller,https://www.rottentomatoes.com/m/wasteman,100%,89%,"Taylor is branded a ""wasteman"" by society, his family and in prison. In a world of parties, gangs and violence, he's managed to keep out of trouble. However, with the arrival of chaotic cellmate Dee, the chance to make early parole and get his life back are put in jeopardy.","A prison picture with a terrific pair of lead performances by David Jonsson and Tom Blyth, Wasteman is harrowing, superbly acted across the board, and revealing about the incentives for violence in the correctional system.","Fandango at Home, Netflix, Apple TV, Prime Video"
Mile End Kicks,Movie,Romance|Comedy,https://www.rottentomatoes.com/m/mile_end_kicks,88%,66%,"I Like Movies director Chandler Levack's Mile End Kicks is a bright romantic comedy starring Barbie Ferreira as Grace, a young music critic who moves to Montreal to figure out life and love.","A loosely structured yet emotionally sharp coming-of-age film, Mile End Kicks captures early 20s aimlessness with authentic charm, lifted by Barbie Ferreira's natural lead turn and Chandler Levack's confident, unsentimental direction.","Fandango at Home, Netflix, Apple TV, Prime Video"
Miroirs No. 3,Movie,Drama|Mystery & Thriller,https://www.rottentomatoes.com/m/miroirs_no_3,95%,,"During a weekend trip to the countryside, Laura, a young piano student from Berlin, miraculously survives a shocking car crash. Awakening in a nearby house, Laura finds herself in the care of a local woman, who tends to her with motherly devotion. As she recuperates, Laura begins to integrate herself into the lives of the woman and her initially reluctant husband and son. By turns haunted and hopeful, Laura and her adopted family reawaken to the world and come to find a strange harmony together. However, they cannot outrun the ghosts of the past, which begin to stir, as acclaimed director Christian Petzold (PHOENIX, TRANSIT) spins a modern gothic fairytale about the lies we tell ourselves and the strange ways that grief, connection, and humanity bind and sustain us.","A hushed, enigmatic psychodrama, Miroirs No. 3 simmers with mystery and mood as Paula Beer's transfixing performance anchors its exploration of fractured identity.","Fandango at Home, Netflix, Apple TV, Prime Video"
To Love a Narcissist,Movie,Romance,https://www.rottentomatoes.com/m/to_love_a_narcissist,,,"Charlotte and Roberto are in love. One of them is a covert narcissist. 'To Love A Narcissist' is a resonant story for our times that blurs the lines between love and deceit and will leave you questioning whether authenticity exists. After the collapse of her marriage, Charlotte delves into the mercurial world of online dating, where trust becomes a weapon in a dangerous game. As an insidious bond forms, a delicate interplay of manipulation and desire plays out. Vulnerability and control shift exposing layers of deception. As her relationship with Roberto unravels, Charlotte is forced to confront unsettling patterns.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Monkey's Magic Merry Go Round,Movie,Horror,https://www.rottentomatoes.com/m/monkeys_magic_merry_go_round,,,"James Jensen hosts a children's series celebrating imagination and memory, yet he slowly realizes his own past is missing. As episodes progress, the playful world of puppets and colorful sets fractures into something darker.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Sight Unseen,Movie,Horror,https://www.rottentomatoes.com/m/sight_unseen_2025,,,"After the mysterious death of their estranged father, three siblings inherit his rural cabin, only to discover that someone--or something--still lingers there. They must set aside their differences to defeat the entity, before it's too late.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Buzzheart,Movie,Mystery & Thriller,https://www.rottentomatoes.com/m/buzzheart,,,,,"Fandango at Home, Netflix, Apple TV, Prime Video"
Sick Puppy,Movie,Comedy|Mystery & Thriller,https://www.rottentomatoes.com/m/sick_puppy,,,"When Charlie's serial killer husband decides to finally quit for her, she's thrilled, but soon finds herself committing violent acts to protect the man she loves, even from himself.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Reckless,Movie,Action|Comedy,https://www.rottentomatoes.com/m/reckless_2026,91%,,An ex-convict who's on parole tries to outwit the police to get his share of an old heist.,,"Fandango at Home, Netflix, Apple TV, Prime Video"
Giant,Movie,Drama|Biography|Sports,https://www.rottentomatoes.com/m/giant_2025,57%,,"GIANT is the true story of Prince Naseem ""Naz"" Hamed's humble beginnings on  the tough working class streets of Sheffield and his discovery by Brendan Ingle, himself a steel industry worker turned boxing trainer. Their unlikely partnership along with Naz's unorthodox style, cocky persona and sheer dominance in the ring propelled them to the top of boxing's elite and unprecedented levels of global superstardom, all in the face of the rampant Islamophobia and racism of 80's and 90's Britain.",,"Fandango at Home, Netflix, Apple TV, Prime Video"
Project Hail Mary,Movie,Sci-Fi|Adventure,https://www.rottentomatoes.com/m/project_hail_mary,94%,95%,"Science teacher Ryland Grace (Ryan Gosling) wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction... but an unexpected friendship means he may not have to do it alone.","A visually dazzling space odyssey that's carried along effortlessly by the gravitational pull of Ryan Gosling at his most winning, Project Hail Mary is a near-miraculous fusion of smarts and heart.","Fandango at Home, Netflix, Apple TV, Prime Video"
Send Help,Movie,Horror|Comedy|Mystery & Thriller,https://www.rottentomatoes.com/m/send_help,92%,86%,"In ""Send Help,"" two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's an unsettling, darkly humorous battle of wills and wits to make it out alive.","Putting director Sam Raimi's penchant for diabolical mayhem to great use, Send Help doesn't need any assistance in thrills thanks to a very game Rachel McAdams and Dylan O'Brien along with a viciously clever script.","Fandango at Home, Netflix, Apple TV, Prime Video"
The Drama,Movie,Drama|Romance|Comedy|Mystery & Thriller,https://www.rottentomatoes.com/m/the_drama,77%,78%,A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,"Flirting with complex themes, The Drama walks a tonal tightrope with impressive poise thanks to career-highlight performances by Robert Pattinson and Zendaya.","Fandango at Home, Netflix, Apple TV, Prime Video"
Wuthering Heights,Movie,Romance|Drama,https://www.rottentomatoes.com/m/wuthering_heights_2026,57%,75%,"Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.","Liberally adapting Emily Brontë's classic story with a heavy dose of carnality and chic stylization, Emerald Fennell's Wuthering Heights might not be the stuff of high literature but it is a visually vibrant pleasure.","Fandango at Home, Netflix, Apple TV, Prime Video"
Marty Supreme,Movie,Mystery & Thriller|Drama,https://www.rottentomatoes.com/m/marty_supreme,93%,82%,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.","Serving up Timothée Chalamet at his most infectiously charismatic, Marty Supreme is a propulsive epic that realizes its sky-high aspirations even while it critiques its indelible hero's toxic ambition.","Fandango at Home, Netflix, Apple TV, Prime Video"
GOAT,Movie,Kids & Family|Comedy|Animation|Adventure|Sports,https://www.rottentomatoes.com/m/goat_2026,84%,92%,"From Sony Pictures Animation, the studio behind Spider-Man: Across the Spider-Verse, comes GOAT, an original action-comedy set in an all-animal world. The story follows Will, a small goat with big dreams who gets a once-in-a-lifetime shot to join the pros and play roarball -- a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world. Will's new teammates aren't thrilled about having a little goat on their roster, but Will is determined to revolutionize the sport and prove once and for all that ""smalls can ball!""","Sporting a terrific voice cast, nifty animation, and a solid moral for youngsters, GOAT plays a familiar game with enough style and finesse to come close to the greats.","Fandango at Home, Netflix, Apple TV, Prime Video"
THE BRIDE!,Movie,Horror|Romance|Drama,https://www.rottentomatoes.com/m/the_bride_2026,57%,70%,A scientist revives a murdered woman as a companion for a legendary creature. The aftermath defies all expectations.,"Concocted with all the restraint of a mad scientist's experiment, THE BRIDE! lurches in so many different creative directions that the overall effect is both sloppy and inspired.","Fandango at Home, Netflix, Apple TV, Prime Video"
We Bury the Dead,Movie,Horror|Mystery & Thriller,https://www.rottentomatoes.com/m/we_bury_the_dead,88%,46%,"After a catastrophic military disaster, the dead don't just rise -- they hunt. The military insists they are harmless and slow-moving, offering hope to grieving families. But when Ava (Daisy Ridley) enters a quarantine zone searching for her missing husband, she uncovers the horrifying truth: the undead are growing more violent, more relentless, and more dangerous with every passing hour.","Anchored by Daisy Ridley's magnetic performance and a grimly inventive premise, We Bury the Dead keenly uses familiar zombie tropes as a framework to deliver a beautifully shot, emotionally resonant meditation on loss and grief.","Fandango at Home, Netflix, Apple TV, Prime Video"
The Christophers,Movie,Comedy|Drama,https://www.rottentomatoes.com/m/the_christophers,95%,86%,A once-celebrated artist's children enlist a forger to access his unfinished canvases in a deceptive bid to secure an inheritance.,"A sly caper carried off with director Steven Soderbergh's characteristic panache, The Christophers is a superb two-hander featuring Ian McKellen and Michaela Coel at their very best.","Fandango at Home, Netflix, Apple TV, Prime Video"
Lurker,Movie,Drama|Mystery & Thriller,https://www.rottentomatoes.com/m/lurker,94%,85%,"A screw-turning psychological thriller made for the moment, LURKER is the razor-sharp directorial debut from The Bear and Beef writer-producer Alex Russell. When twenty-something Los Angeles retail clerk and loner Matthew (Théodore Pellerin) encounters rising pop star Oliver (Saltburn’s Archie Madekwe), he takes the opportunity to edge his way into the in-crowd. But staying there isn't easy. With an entire entourage (Bottoms' Havana Rose Liu, Abbott Elementary's Zack Fox, Y2K's Daniel Zolghadri, mid90s' Sunny Suljic) vying for attention, Matthew must prove himself to Oliver as more than just a follower. As their bond grows strained and mainstream fame appears within reach, access and proximity become a matter of life and death. Online fixation meets reality in this parasocial, paranoid cat-and-mouse film driven by star-making performances. With an incisive view to contemporary culture and a brilliant score from Kenny Beats (known for his work with Vince Staples), LURKER presents an exhilarating take on the music industry, the blurred line between friend and fan, and our universal search for validation.","Devilishly examining the intersection of fame and obsession to thrilling effect, Alex Russell's directorial debut delivers on all fronts.","Fandango at Home, Netflix, Apple TV, Prime Video"
Hoppers,Movie,Kids & Family|Comedy|Adventure|Animation,https://www.rottentomatoes.com/m/hoppers,94%,93%,"What if you could talk to animals and understand what they're saying? In Disney and Pixar's all-new feature film ""Hoppers,"" scientists have discovered how to ""hop"" human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals! The adventure introduces Mabel, an animal lover who seizes an opportunity to use the technology, uncovering mysteries within the animal world that are beyond anything she could have imagined.","An eager beaver for endearment that has the charm to back it up, Hoppers is a sprightly riot that might just be the funniest entry in the Pixar canon yet.","Fandango at Home, Netflix, Apple TV, Prime Video"
"Good Luck, Have Fun, Don't Die",Movie,Sci-Fi|Comedy|Action,https://www.rottentomatoes.com/m/good_luck_have_fun_dont_die,81%,85%,A man claiming to be from the future takes the patrons of an iconic Los Angeles diner hostage in search of unlikely recruits in a quest to save the world.,"A gleeful high-concept comedy with a serious message at its core, Good Luck, Have Fun, Don't Die lets Sam Rockwell rip with thrilling results while marking a very welcome return of director Gore Verbinski in peak form.","Fandango at Home, Netflix, Apple TV, Prime Video"
The Housemaid,Movie,Mystery & Thriller|Drama,https://www.rottentomatoes.com/m/the_housemaid_2025,73%,92%,"THE HOUSEMAID is a wildly entertaining thriller starring Sydney Sweeney and Amanda Seyfried, based on the best-selling book. From director Paul Feig, the film plunges audiences into a twisted world where perfection is an illusion, and nothing is as it seems. Trying to escape her past, Millie (Sweeney) accepts a job as a live-in housemaid for the wealthy Nina (Seyfried) and Andrew Winchester (Brandon Sklenar). But what begins as a dream job quickly unravels into something far more dangerous -- a sexy, seductive game of secrets, scandal, and power. Behind the Winchesters' closed doors lies a world of shocking twists that will leave you guessing until the very end.","A sly throwback to the lurid thrillers that used to dominate multiplexes, The Housemaid cleans up nicely thanks to its wicked sense of fun and a delightfully unnerving performance from Amanda Seyfried.","Fandango at Home, Netflix, Apple TV, Prime Video"
Ready or Not 2: Here I Come,Movie,Horror|Mystery & Thriller|Comedy,https://www.rottentomatoes.com/m/ready_or_not_2_here_i_come,74%,89%,"Moments after surviving an all-out attack from the Le Domas family, Grace (Samara Weaving) discovers she’s reached the next level of the nightmarish game -- and this time with her estranged sister Faith (Kathryn Newton) at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.","Tempting fate by picking up where it left off after an extended absence, Ready or Not 2 cheats the sequel curse thanks in large part to Samara Weaving's ferocious commitment to the bloody bit.","Fandango at Home, Netflix, Apple TV, Prime Video"
Bugonia,Movie,Comedy|Sci-Fi,https://www.rottentomatoes.com/m/bugonia,87%,84%,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.","Emma Stone and Jesse Plemons are at the top of their game in Bugonia , a bonkers entertainment that applies director Yorgos Lanthimos' whip-smart method to modern society's madness.","Fandango at Home, Netflix, Apple TV, Prime Video"
Merrily We Roll Along,Movie,Musical|Biography|Comedy|Drama|History,https://www.rottentomatoes.com/m/merrily_we_roll_along,95%,95%,"Spanning three decades, MERRILY WE ROLL ALONG charts the turbulent relationship between composer Franklin Shepard and his two lifelong friends -- writer Mary and lyricist and playwright Charley. Originally produced on Broadway in 1981, then becoming an inventive cult classic ahead of its time, the musical features some of Stephen Sondheim's most celebrated and personal songs. The 2023-2024 Broadway production, directed by Maria Friedman, redefined the show for a new era, bringing Stephen Sondheim's intricate score and George Furth's book to vivid life with extraordinary depth and clarity. MERRILY WE ROLL ALONG shattered the Hudson Theatre's house record on Broadway, solidifying its place as a landmark event in Broadway history. The critically acclaimed production won the 2024 Tony Awards for Best Revival of a Musical, Best Performance by an Actor in a Leading Role in a Musical, Best Performance by an Actor in a Featured Role in a Musical and Best Orchestrations. Additionally, in London, MERRILY WE ROLL ALONG garnered the most five-star reviews in West-End history.","Buoyed by spirited performances, this presentation of Merrily We Roll Along helps further vindicate one of Stephen Sondheim's rare commercial misses as a rightful gem in the maestro's canon.","Fandango at Home, Netflix, Apple TV, Prime Video"
Good Boy,Movie,Horror|Mystery & Thriller,https://www.rottentomatoes.com/m/good_boy_2025,90%,81%,"Our canine hero, Indy, finds himself on a new adventure with his human owner--and best friend--Todd, leaving city life for a long-vacant family home in the country. From the start, two things are abundantly clear: Indy is wary of the creepy old house, and his affection for Todd is unwavering. After moving in, Indy is immediately vexed by empty corners, tracks an invisible presence only he can see, perceives phantasmagoric warnings from a long-dead dog, and is haunted by visions of the previous occupant’s grim death. When Todd begins succumbing to the dark forces swirling around the house, Indy must battle a malevolence intent on dragging his beloved Todd into the afterlife.","Good Boy is a visually striking, emotionally devastating horror film that eschews genre conventions to deliver a uniquely haunting and conceptually ambitious experience.","Fandango at Home, Netflix, Apple TV, Prime Video"
Nope,Movie,Sci-Fi|Horror|Mystery & Thriller,https://www.rottentomatoes.com/m/nope,83%,69%,"A man and his sister discover something sinister in the skies above their California horse ranch, while the owner of a nearby theme park tries to profit from the mysterious, otherworldly phenomenon.","Admirable for its originality and ambition even when its reach exceeds its grasp, Nope adds Spielbergian spectacle to Jordan Peele's growing arsenal.","Fandango at Home, Netflix, Apple TV, Prime Video"
Mortal Kombat,Movie,Action|Adventure|Fantasy,https://www.rottentomatoes.com/m/mortal_kombat_2021,55%,85%,"In ""Mortal Kombat,"" MMA fighter Cole Young, accustomed to taking a beating for money, is unaware of his heritage--or why Outworld's Emperor Shang Tsung has sent his best warrior, Sub-Zero, an otherworldly Cryomancer, to hunt Cole down. Fearing for his family's safety, Cole goes in search of Sonya Blade at the direction of Jax, a Special Forces Major who bears the same strange dragon marking Cole was born with. Soon, he finds himself at the temple of Lord Raiden, an Elder God and the protector of Earthrealm, who grants sanctuary to those who bear the mark. Here, Cole trains with experienced warriors Liu Kang, Kung Lao and rogue mercenary Kano, as he prepares to stand with Earth's greatest champions against the enemies of Outworld in a high stakes battle for the universe. But will Cole be pushed hard enough to unlock his arcana--the immense power from within his soul--in time to save not only his family, but to stop Outworld once and for all?","Largely for fans of the source material but far from fatal(ity) flawed, Mortal Kombat revives the franchise in appropriately violent fashion.","Fandango at Home, Netflix, Apple TV, Prime Video"
Pillion,Movie,Romance|Drama|LGBTQ+,https://www.rottentomatoes.com/m/pillion,99%,89%,"A timid man is swept off his feet when an enigmatic, impossibly handsome biker takes him on as his submissive.","A remarkable directorial debut by Harry Lighton, Pillion is an unconventional romance that soars thanks to its nonjudgmental perspective and knockout performances.","Fandango at Home, Netflix, Apple TV, Prime Video"
28 Years Later: The Bone Temple,Movie,Horror|Mystery & Thriller,https://www.rottentomatoes.com/m/28_years_later_the_bone_temple,92%,88%,"Expanding upon the world created by Danny Boyle and Alex Garland in 28 Years Later -- but turning that world on its head -- Nia DaCosta directs 28 Years Later: The Bone Temple. In a continuation of the epic story, Dr. Kelson (Ralph Fiennes) makes a discovery that could change the world as they know it -- and Spike's (Alfie Williams) encounter with Jimmy Crystal (Jack O'Connell) becomes a nightmare he can't escape. In the world of The Bone Temple, the infected are no longer the only threat to survival -- the inhumanity of the survivors can be stranger and more terrifying.","A direct continuation of 28 Years Later that ups the gore while deepening the dread, The Bone Temple is finely adorned by Nia DaCosta's unnerving direction as well as Ralph Fiennes and Jack O'Connell's inspired performances.","Fandango at Home, Netflix, Apple TV, Prime Video"
